Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",61.500000,-90.000000,-90.000000,top
"C2","100n","C_0805_2012Metric",58.000000,-100.500000,180.000000,top
"C3","100n","C_0805_2012Metric",48.500000,-84.000000,0.000000,top
"C4","100n","C_0805_2012Metric",47.500000,-89.500000,90.000000,top
"C5","10u","C_0805_2012Metric",51.500000,-86.500000,0.000000,top
"C6","10n","C_0805_2012Metric",47.500000,-96.000000,90.000000,top
"C7","1u","C_0805_2012Metric",44.000000,-100.500000,180.000000,top
"C8","1u","C_0805_2012Metric",44.000000,-103.000000,180.000000,top
"C9","100n","C_0805_2012Metric",52.000000,-101.000000,0.000000,top
"C10","10p","C_0805_2012Metric",44.500000,-91.000000,90.000000,top
"C11","10p","C_0805_2012Metric",44.500000,-96.000000,90.000000,top
"C12","22u","C_0805_2012Metric",64.500000,-95.150000,0.000000,top
"C13","22u","C_0805_2012Metric",69.500000,-100.150000,90.000000,top
"D1","RED","LED_0603_1608Metric",73.000000,-100.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",47.000000,-102.000000,-90.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2",39.000000,-79.500000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2",39.000000,-109.500000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2",74.000000,-79.500000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2",74.000000,-109.500000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",73.000000,-89.000000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",68.810000,-79.500000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",56.310000,-79.500000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",47.190000,-109.500000,90.000000,top
"R1","10k","R_0402_1005Metric",42.000000,-86.990000,90.000000,top
"R2","1k5","R_0402_1005Metric",65.000000,-91.500000,-90.000000,top
"R3","1k5","R_0402_1005Metric",73.000000,-97.000000,90.000000,top
"R4","1k5","R_0402_1005Metric",50.500000,-106.000000,180.000000,top
"R5","1k5","R_0402_1005Metric",53.000000,-106.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",38.500000,-87.000000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",54.500000,-93.500000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",64.500000,-101.150000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",41.000000,-94.000000,-90.000000,top
